Square spiral
400 400
480 400
500 380
500 320
480 300
420 300
400 300
320 300
300 320
300 400
300 480
320 500
400 500
500 500
580 500
600 480
600 400
600 300
600 220
580 200
500 200
400 200
300 200
220 200
200 220
200 300
200 400
200 500
200 580
220 600
300 600
400 600
500 600
600 600
680 600
700 580
700 500
700 400
700 300
700 200
700 120
680 100
600 100
500 100
400 100
300 100
200 100
120 100
100 120
100 200
100 300
100 400
100 500
100 600
100 680
120 700
200 700
300 700
400 700
500 700
600 700
700 700
800 700
